key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
48,"InstanceContentType#2",0,90,"Baelsar-Wall","","music/ex1/BGM_EX1_Dungeon_Gri_09.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunfst/dunfst1da10/dunfst1da10",6562680,219,0,False,"","","BNpcBase#5564","Clear all barricades","Imperial identification keys",56,0,0,80,0,84380,50,0,0,24970,37455,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,3600,"InstanceContentRewardItem#104",50,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
49,"InstanceContentType#2",0,90,"Sohm Al (schwer)","","music/ex1/BGM_EX1_Dungeon_DravaniaH_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d810/dundra2d810",6610258,221,0,False,"","","BNpcBase#5531","Arrive at the Wound","Clear the Heart",57,0,0,80,0,90837,50,0,0,26608,40187,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,3600,"InstanceContentRewardItem#103",50,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
50,"InstanceContentType#2",0,90,"Shisui","","music/ex2/BGM_EX2_Dan_D02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d110/dunest3d110",6526606,235,0,False,"","","BNpcBase#6243","Clear the Sogyoku Piscary","AAARGH! So this is the end... The girl...I nearly had her...",0,6000,92000,0,0,387564,0,0,0,109697,169160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015300,3840,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
51,"InstanceContentType#2",0,90,"Tempel der Faust","","music/ex2/BGM_EX2_Dan_D07.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dungyr/dungyr3d310/dungyr3d310",6797021,236,0,False,"","","BNpcBase#6117","Clear Rhalgr's Shoulder","A stronger warrior I have not seen!",0,0,0,30,0,255008,10,0,0,72372,182633,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#0",40,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
52,"InstanceContentType#2",0,90,"Sirenen-See","","music/ex2/BGM_EX2_Dan_D01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunocn/dunocn3d110/dunocn3d110",6793825,238,0,False,"","","BNpcBase#6074","Arrive at Spae Rock","We appear to have arrived at our destination...
Care to go and greet our hosts, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>?",0,6000,76000,0,0,291445,0,0,0,83412,127759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836550,3720,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
53,"InstanceContentType#2",0,90,"Bardams Probe","","music/ex2/BGM_EX2_Dan_D03.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d210/dunest3d210",6797773,240,0,False,"","","BNpcBase#6155","Arrive at Bardam's Hunt","",0,6000,110000,0,0,433004,0,0,0,123532,189580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211210,3960,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,2,0,False,0,0
54,"InstanceContentType#2",0,90,"Burg Doma","","music/ex2/BGM_EX2_Dan_D04.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d310/dunest3d310",6881322,241,0,False,"","","BNpcBase#6205","Arrive at the Third Armory","",0,6000,129000,0,0,513505,0,0,0,146347,224730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424280,4080,"InstanceContentRewardItem#120",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
55,"InstanceContentType#2",0,90,"Castrum Abania","","music/ex2/BGM_EX2_Dan_D05.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dungyr/dungyr3d110/dungyr3d110",6828756,242,0,False,"","","BNpcBase#6268","Clear the storage compound","Systems critical! Unable to execute Wild Speed Protocol...",0,6000,150000,0,0,540383,0,0,0,155971,237676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654510,4200,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
56,"InstanceContentType#2",0,90,"Ala Mhigo","","music/ex2/BGM_EX2_Dan_D06.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dungyr/dungyr3d210/dungyr3d210",6879598,247,0,False,"","","BNpcBase#6039","Eliminate the imperials","How glorious the violence within you...",0,0,0,30,0,276689,10,0,0,78874,197811,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#121",40,0,"InstanceContentBuff#0","",-1,0,0,4,0,False,0,0
57,"InstanceContentType#2",0,90,"Schloss Kugane","","music/ex2/BGM_EX2_Dan_D08.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d410/dunest3d410",6881036,262,0,False,"","","BNpcBase#6089","Arrive at the Keisen Garden","Let my blade sing once more!",0,0,0,30,0,266365,10,0,0,75777,190584,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#0",40,0,"InstanceContentBuff#0","",-1,0,0,6,0,False,0,0
58,"InstanceContentType#2",0,90,"Die versunkene Stadt Skalla","","music/ex2/BGM_EX2_Dan_D09.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dungyr/dungyr3d410/dungyr3d410",7042419,279,0,False,"","","BNpcBase#6910","Arrive at the Green Screams","×△sACriFicE△×◎WHIR◎×▼sUBserViEntS▼×
BooM, bOOm, BOom, boOm...",0,0,0,40,0,255008,15,0,0,72372,182633,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#125",40,0,"InstanceContentBuff#0","",-1,0,0,0,6,False,0,0
59,"InstanceContentType#2",0,90,"Höllenspund","","music/ex2/BGM_EX2_Dan_D10.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d510/dunest3d510",7167447,284,0,False,"","","BNpcBase#6996","Arrive at Demonsgate","Grrraaarrrgh!!!",0,0,0,50,0,296407,20,0,0,84274,212129,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#138",45,0,"InstanceContentBuff#0","",-1,0,0,14,0,False,0,0
60,"InstanceContentType#2",0,90,"Die Fraktal-Kontinuum (schwer)","","music/ex2/BGM_EX2_Dan_D11.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunabr/dunabr2d410/dunabr2d410",7170996,285,0,False,"","","BNpcBase#7058","Arrive at the Reality Augmentation Bay","A number of roborants can also be administered to bolster its strength further, making it the ultimate─ <buzzzzzz>",0,0,0,50,0,290369,20,0,0,82464,207904,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#139",45,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
61,"InstanceContentType#2",0,90,"Kompass der Schwalbe","","music/ex2/BGM_EX2_Dan_D12.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d610/dunest3d610",7335267,536,0,False,"","","BNpcBase#7203","Arrive at the Heart of the Dragon","Is emptiness form, or form emptiness?
Either way, I am still here and hitting you!",0,0,0,60,0,285723,25,0,0,81069,204650,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#142",45,0,"InstanceContentBuff#0","",-1,0,0,18,0,False,0,0
62,"InstanceContentType#2",0,90,"Sankt Mocianne-Arboretum (schwer)","","music/ex2/BGM_EX2_Dan_D14.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dundra/dundra2d910/dundra2d910",7403523,584,0,False,"","","BNpcBase#7662","Arrive in Zymology","Arrive in Kingsloam",0,0,0,70,0,285723,35,0,0,81069,204650,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#149",45,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
63,"InstanceContentType#2",0,90,"Das Kargland","","music/ex2/BGM_EX2_Dan_D13.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dunest/dunest3d710/dunest3d710",7558761,585,0,False,"","","BNpcBase#7672","Arrive in the Scorpion's Den","The dragon is poised to swoop! Be on your guard!",0,0,0,70,0,283400,35,0,0,80372,203024,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#150",45,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
64,"InstanceContentType#2",0,90,"Die Ghimlyt-Finsternis","","music/ex2/BGM_EX2_Dan_D15.scd","music/ffxiv/BGM_System_WinLoop.scd","ex2/dungyr/dungyr3d510/dungyr3d510",7705971,611,0,False,"","","BNpcBase#7859","Arrive on the Field of Dust","Defeat Julia and Annia",0,0,0,80,0,314889,50,0,0,89303,225582,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1776000,4200,"InstanceContentRewardItem#162",50,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
65,"InstanceContentType#2",0,90,"Dohn Mheg","","music/ex3/BGM_EX3_Dan_D02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d210/dunnvt4d210",7814768,649,0,False,"","","BNpcBase#8146","Arrive at Teag Gye","Nooo! M-My performance!",0,0,0,0,0,1140597,0,0,0,323631,816966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190000,4380,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,18,False,10,0
66,"InstanceContentType#2",0,90,"Irrungen der Qitari","","music/ex3/BGM_EX3_Dan_D03.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d310/dunnvt4d310",7881156,651,0,False,"","","BNpcBase#8233","Arrive at the Divine Threshold","Defeat <Sheet(BNpcName,8233,0)/>",0,0,0,0,0,1507646,0,0,0,429271,1078364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960000,4500,"InstanceContentRewardItem#166",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,5,3
67,"InstanceContentType#2",0,90,"Amaurot","","music/ex3/BGM_EX3_Dan_D06.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d610/dunnvt4d610",7886218,652,0,False,"","","BNpcBase#8210","Bear witness to the first doom","Without decisive sacrifice, our star would surely perish.",0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,4800,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,16,False,3,5
68,"InstanceContentType#2",0,90,"Der Kristallzwilling","","music/ex3/BGM_EX3_Dan_D08.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d710/dunnvt4d710",7917862,655,0,False,"","","BNpcBase#8167","Arrive at Repurposing","Temporal stasis deactivated",0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,4800,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,11,0
69,"InstanceContentType#2",0,90,"Malikahs Brunnen","","music/ex3/BGM_EX3_Dan_D04.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d410/dunnvt4d410",7903197,656,0,False,"","","BNpcBase#257","Arrive at Terminus","Defeat <Sheet(BNpcName,8249,0)/>",0,0,0,0,0,1845614,0,0,0,525715,1319887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810000,4620,"InstanceContentRewardItem#167",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,7,2
70,"InstanceContentType#2",0,90,"Der Gulg","","music/ex3/BGM_EX3_Dan_D05.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d510/dunnvt4d510",7926262,659,0,False,"","","BNpcBase#8262","Arrive on the Perished Path","Defeat the forgiven obscenity",0,0,0,0,0,2110254,0,0,0,599708,1510532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5740000,4740,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,6,4
71,"InstanceContentType#2",0,90,"Akadaemia Anyder","","music/ex3/BGM_EX3_Dan_D07.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d810/dunnvt4d810",7923123,661,0,False,"","","BNpcBase#8273","Arrive in Ichthyology","Defeat <Sheet(BNpcName,8273,0)/>",0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,4800,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,4,1
72,"InstanceContentType#2",0,90,"","","music/ex3/BGM_EX3_Dan_D01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex3/dunnvt/dunnvt4d110/dunnvt4d110",7919152,676,0,False,"","","BNpcBase#0","Arrive at the Wound","Grrraaarrrgh!!!",0,0,0,0,0,897302,0,0,0,254657,642637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,4260,"InstanceContentRewardItem#165",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,9,6
73,"InstanceContentType#0",0,0,"","","","","",0,0,0,False,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",0,0,"InstanceContentBuff#0","",0,0,0,0,0,False,0,0
5000,"InstanceContentType#0",0,60,"","","","music/ffxiv/BGM_System_WinLoop.scd","",0,0,0,False,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5001,"InstanceContentType#7",0,30,"Truppenübung der Eorzäischen Allianz","","music/ex1/BGM_EX1_Event_IshWar.scd","","",0,167,0,True,"","","BNpcBase#4739","Forward, forward! Ishgard! Ishgard!","Aye, all right... Take your victory. You've earned it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5002,"InstanceContentType#7",0,30,"Blutiges Wiedersehen","","music/ex1/BGM_EX1_Boss04.scd","","",0,173,0,True,"","","BNpcBase#3818","Pursue the legatus","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Krile needs you!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5003,"InstanceContentType#7",0,30,"Weltenübergreifendes Schicksal","","music/ffxiv/BGM_Event_Escape.scd","","",0,194,0,True,"","","BNpcBase#3818","Defeat the Warriors of Darkness","Channel aether into Alisaie's blade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5004,"InstanceContentType#7",0,30,"Heliodrom","","music/ffxiv/BGM_Con_Teikoku_Boss.scd","","",0,222,0,True,"","","BNpcBase#0","Er...I may have misjudged the enemy.
They should've been staining the soles of my boots by now...","The colossi are scrap, and the captain hits <Emphasis>us</Emphasis> as often as the enemy!
Enough! Time for a tactical withdrawal!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5005,"InstanceContentType#7",0,30,"Ein zweifelhaftes Angebot","","music/ffxiv/BGM_Event_Treacherous.scd","","",0,237,0,False,"","","BNpcBase#0","Defeat the imperial soldiers","Split up and head for the Ruby Bazaar! And remember: under no circumstances must you engage the Sekiseigumi!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5006,"InstanceContentType#7",0,30,"Thal zu Ehren","","","","",0,261,0,False,"","","BNpcBase#0","予選を勝ち抜け！","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5007,"InstanceContentType#7",0,30,"Die Kraft des Widerstands","","music/ex1/BGM_EX1_Makosen_Nomal02.scd","","",0,245,0,False,"","","BNpcBase#0","Find Arya","Ritual progress",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5008,"InstanceContentType#7",0,30,"Naadam","","music/ffxiv/BGM_Event_BattleCommon_02.scd","","",0,246,0,False,"","","BNpcBase#0","Race to the ovoo","Prevent the Dotharl from claiming the ovoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,5,0,False,0,0
5009,"InstanceContentType#7",0,30,"Mord ist sein Hobby","","music/ffxiv/BGM_Dungeon_Lim_05.scd","","",0,248,0,False,"","","BNpcBase#0","Defeat the sham shinobi","B-Bugger this! Time to use the secret weapon!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5010,"InstanceContentType#7",0,30,"Der Inbegriff des Bösen","","music/ffxiv/BGM_Event_JobShiren.scd","music/ffxiv/BGM_Boss_05.scd","",0,249,0,False,"","","BNpcBase#0","Defeat Musosai","No, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! You cannot fall...not when you are so close!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5011,"InstanceContentType#7",0,30,"Vorfall auf dem Matsuba-Platz","","music/ffxiv/BGM_Event_JobShiren.scd","music/ffxiv/BGM_Boss_07.scd","",0,250,0,False,"","","BNpcBase#0","Defeat Shiden","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, forgive me... I am undone...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5012,"InstanceContentType#7",0,30,"Ent<SoftHyphen/>schei<SoftHyphen/>dungs<SoftHyphen/>schlacht auf Bekko","","music/ex2/BGM_EX2_Boss_Battle_01.scd","","",0,251,0,False,"","","BNpcBase#0","Defeat Ugetsu","Victory is mine. A new day dawns upon the realm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5013,"InstanceContentType#7",0,30,"Die Urkraft in ihr","","music/ffxiv/BGM_Event_BattleCommon_02.scd","","",0,260,0,False,"","","BNpcBase#0","Defeat the masked marauders.","Brace yourself! I fear there is no escaping this onslaught!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5014,"InstanceContentType#7",0,30,"Ein Wunsch aus alten Zeiten","","music/ex1/BGM_EX1_Dungeon_Komuda2.scd","","",0,265,0,False,"","","BNpcBase#0","Pursue the phantom faerie!","Is it...waiting for us?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5015,"InstanceContentType#7",0,30,"Kriegerische Leidenschaft","","music/ffxiv/BGM_Dungeon_Uru_06.scd","","",0,266,0,False,"","","BNpcBase#0","Defeat Nayaga.","It would be my pleasure.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5016,"InstanceContentType#7",0,30,"Der tobende Drache","","music/ffxiv/BGM_Event_Treacherous.scd","","",0,267,0,True,"","","BNpcBase#0","Search for the black dragon!","Graaagh! Faunehm, why...?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5017,"InstanceContentType#7",0,30,"Wege zur Transzendenz","","music/ffxiv/BGM_Con_Teikoku_02.scd","","",0,269,0,False,"","","BNpcBase#0","Open the gates of the Ala Mhigan Quarter","Still got that siphon, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>!? Then use it!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5018,"InstanceContentType#7",0,30,"Die hohe Kunst des Schwertkampfs","","","","",0,270,0,False,"","","BNpcBase#0","Triumph in the Ul Cup final","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5019,"InstanceContentType#7",0,30,"Probe des Meisters","","","","",0,271,0,False,"","","BNpcBase#0","Defeat Ser Ompagne","We're still here, old man! What else have you got!?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5020,"InstanceContentType#7",0,30,"Aus der Tiefe des Herzens","","","","",0,272,0,False,"","","BNpcBase#0","Defeat the simulacra","Again and again and again you kill. Do you feel nothing!?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5021,"InstanceContentType#7",0,30,"Der Rubin-Drachenreiter","","","","",0,273,0,True,"","","BNpcBase#0","Weaken Faunehm!","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, come to my side! I shall heal you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5022,"InstanceContentType#7",0,30,"Aus dem Verborgenen","","music/ffxiv/BGM_Event_JobShiren.scd","","",0,274,0,False,"","","BNpcBase#0","Let the show begin! And it <Emphasis>won't</Emphasis> be a happy ending for you.","See through Hanzo's illusions and defeat him!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5023,"InstanceContentType#7",0,30,"Interdimensionaler Riss","","music/ex2/BGM_EX2_Omega_01.scd","","",0,275,0,False,"","","BNpcBase#0","Reach the Deltascape","Not even mine avatar is safe... I take my leave of thee, mortal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5024,"InstanceContentType#7",0,30,"Verrat der Qalyana","","music/ex2/BGM_EX2_Ban_02.scd","","",0,282,0,False,"","","BNpcBase#0","Use Deflect to dissipate the aether spheres!","Hold on, Fordola...
We end this now! For Ala Mhigo!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,6,11,0,False,0,0
5025,"InstanceContentType#7",0,30,"Der Knabe der Morgenröte","","","","",0,582,0,False,"","","BNpcBase#0","Search for survivors.","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
5026,"InstanceContentType#7",0,30,"Der Wille der Mondgöttin","","music/ffxiv/BGM_Con_Teikoku_01_Sido.scd","","",0,609,0,False,"","","BNpcBase#0","Defeat Sadu Heavensflame","Time to finish this!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,8,25,0,False,0,0
5027,"InstanceContentType#7",0,30,"Durch den Sturm und zurück","","music/ffxiv/BGM_Event_BKC10.scd","music/ffxiv/BGM_System_WinLoop.scd","",0,646,0,False,"","","BNpcBase#0","Alright, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, it's time to put your new power to use.","Of all the places...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,9,0,0,False,0,0
5028,"InstanceContentType#7",0,30,"Requiem der Helden","","music/ex2/BGM_EX2_Boss_Battle_01.scd","","",0,648,0,False,"","","BNpcBase#0","Hold your ground until the Warrior of Light arrives","We may be on the back foot, but it's not over yet!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,31,0,False,0,0
5029,"InstanceContentType#7",0,30,"揺れる天秤","","music/ffxiv/BGM_Con_Teikoku_01_Sido.scd","","",0,678,0,False,"","","BNpcBase#0","Relive Branden and Ardbert's battle against Tadric!","Unrepentant to the last... This madness dies with you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False,0,0
