key,0,1
407,"A New Hope (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
408,"Wailers And Waterwheels (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
409,"I Am the Sea (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
410,"New Foundations","Récompense de quête"
411,"The Black Wolf Stalks Again","Synthèse (matériau principal obtenu dans le défi ""Castrum Marinum (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
412,"Gogo's Theme","Échange à Ul'dah"
413,"The Sochen Cave Palace (Zodiac Age Version)","Delubrum Reginae"
414,"Giving Chase (Zodiac Age Version)","Delubrum Reginae"
415,"The Queen Awakens","Delubrum Reginae"
416,"Freshly Glazed Porxie","L'Atelier abandonné de Matoya"
417,"Don't Be Afraid","La Promesse d'Éden - Litanie"
418,"The Legendary Beast","La Promesse d'Éden - Anamorphose"
419,"Promises to Keep","La Promesse d'Éden - Éternité"
420,"The Extreme","La Promesse d'Éden - Éternité (sadique)"
421,"Nemesis","Expéditions en sous-marin"
422,"Everywhere and Nowhere","Le Jardin secret du Lyhe Ghiah"
423,"Tomorrow and Tomorrow - Reprise","Le Donjon hypogéen du Lyhe Ghiah"
424,"Dangerous Words","Le Donjon hypogéen du Lyhe Ghiah"
425,"Unmatching Pieces","Le Jardin secret du Lyhe Ghiah"
426,"The Ludus","Halatali"
427,"Faith in Her Fury","Le Kupo de la fortune d'Azurée"
428,"Hearthward","Échange à Azurée"
429,"Painted Skies","Le Kupo de la fortune d'Azurée"
430,"A Fine Death","Échange au Gold Saucer"
431,"Below","Les Mines de Clochecuivre"
432,"Dancing Calcabrina","L'Antitour"
433,"Ominous Prognisticks (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
434,"Night in the Brume (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
435,"Painted Foothills (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
436,"Shuffle or Boogie","Haut fait ""Duelliste officiel I"""
437,"In the Arms of War","Synthèse (matériau principal obtenu dans le défi ""Le Tillac des Cirrus (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
438,"Wrath of the Harrier","Le Dalriada sur les Hauts plateaux de Zadnor"
439,"Seven Flames","La grande prairie de Paglth'an"
440,"And Love You Shall Find","Récompense de quête"
441,"What Is Love?","Échange à Azurée"
442,"By Design","Expéditions en sous-marin"
443,"Freedom","Échange (notamment à Limsa Lominsa)"
444,"A Better Tomorrow","Le Donjon hypogéen du Lyhe Ghiah"
445,"On Westerly Winds (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
446,"Serenity (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
447,"To the Sun (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
448,"Invincible (Scions & Sinners: Piano)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
449,"Tomorrow and Tomorrow (Scions & Sinners: Amanda Achen Vocals)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
450,"Return to Oblivion (Scions & Sinners: Amanda Achen Vocals)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
451,"What Angel Wakes Me (Scions & Sinners: Amanda Achen Vocals)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
452,"A Long Fall (Scions & Sinners: Piano)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
453,"Equilibrium (Scions & Sinners: Band)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
454,"What Angel Wakes Me (Scions & Sinners: Band)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
455,"Shadowbringers (Scions & Sinners: Band)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
456,"Blinding Indigo (Scions & Sinners: Band)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
457,"Insatiable (Scions & Sinners: Band)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
458,"Rise (Pulse)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
459,"Through the Maelstrom (Pulse)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
460,"Neath Dark Waters (Pulse)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
461,"What Angel Wakes Me (Pulse)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
462,"Sunrise (Pulse)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
463,"Skyrise","Échange à Azurée"
464,"Mourning","La tour de la Contingence"
465,"Emil (Despair)","La tour de la Contingence"
466,"",""
467,"The Sound of the End: 8bit","La tour de la Contingence"
468,"Kainé (Final Fantasy Main Theme Version)","La tour de la Contingence"
469,"Weight of the World (Instrumental)","Récompense de quête"
470,"Voice of no Return (Normal)","Récompense de quête"
471,"The Color of Depression","Récompense de quête"
472,"Widespread Illness","Récompense de quête"
473,"Possessed by Disease","Récompense de quête"
474,"Faltering Prayer (Dawn Breeze)","Récompense de quête"
475,"Tower of Zot (Endwalker)","La tour de Zott"
476,"Garlemald Express","La tour de Babil"
477,"As the Sky Burns","Vanaspati"
478,"Miracle Works","L'Hyperborée"
479,"The Aetherial Sea","Le Prisme de l'Aitia"
480,"Of Countless Stars","L'Issue aux Impasses"
481,"Carrots of Happiness","Risette-sur-lune"
482,"Endcaller","Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans Endwalker)
* Meilleures chances d'obtention au niveau d'objet minimum"
483,"Your Answer","Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans Endwalker)
* Meilleures chances d'obtention au niveau d'objet minimum"
484,"",""
485,"Ancient Shackles","Les Limbes du Pandæmonium - Fournaise"
486,"Hic Svnt Leones","Les Limbes du Pandæmonium - Abîme"
487,"The Ewer Brimmeth","Échange à Vieille Sharlayan"
488,"Twilit Terraces","Échange à Radz-at-Han"
489,"The Labyrinth","Échange au Labyrinthos"
490,"Divine Words","Échange à Thavnair"
491,"White Snow, Black Steel","Échange à Garlemald"
492,"One Small Step","Échange à Mare Lamentorum"
493,"Sky Unsundered","Échange à Elpis"
494,"Close in the Distance","Échange à Ultima Thulé"
495,"Unbowed","Échange à Vieille Sharlayan et à Radz-at-Han"
496,"On Blade's Edge","Le Ludodrome"
497,"Finality","Le Ludodrome"
498,"Endwalker – Footfalls","Récompense de quête"
499,"Flow","Récompense de quête"
500,"Dawnbound","La Mer du Chant des sirènes"
501,"Roar of the Wyrm","L'Aire"
502,"From the Depths","Sastasha"
503,"Ink Long Dry (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
504,"Heroes (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
505,"Old Wounds (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
506,"The Map Unfolds","Le legs d'Alzadaal"
507,"The Final Day","Synthèse (matériau principal obtenu dans un défi extrême de l'épopée d'Endwalker)
* Meilleures chances d'obtention au niveau d'objet minimum"
508,"With Hearts Aligned","Synthèse (matériau principal obtenu dans un défi extrême de l'épopée d'Endwalker)
* Meilleures chances d'obtention au niveau d'objet minimum"
509,"",""
510,"",""
511,"Pilgrimage","Domaine divin - Aglaé"
512,"Radiance","Domaine divin - Aglaé"
513,"In the Balance","Domaine divin - Aglaé"
514,"",""
515,"The Nautilus Knoweth","Échange à Vieille Sharlayan"
516,"The Day Will Come (Endwalker)","Échange à Vieille Sharlayan"
517,"Vibrant Voices","Échange à Radz-at-Han"
518,"Perfumed Eves","Échange à Radz-at-Han"
519,"Dreams of Man","Échange au Labyrinthos"
520,"Prayers Repeated","Échange à Thavnair"
521,"Black Steel, Cold Embers","Échange à Garlemald"
522,"Home Beyond the Horizon","Échange à Garlemald"
523,"Stars Long Dead","Échange à Elpis"
524,"Welcome to Our Town! (Endwalker)","Échange à Mare Lamentorum"
525,"Warming Up","Échange à l'Antre des loups"
526,"Festival of the Hunt (Endwalker)","Échange à l'Antre des loups"
527,"Run! (Endwalker)","Échange à l'Antre des loups"
528,"Like a Summer Rain","Nalloncques"
529,"Descent","Le Vigile du Crépuscule"
530,"Aftermath","Le Château d'Amdapor (brutal)"
531,"Gateway to Paradise","Échange au Gold Saucer"
532,"Starlight and Sellswords","En vente aux quartiers résidentiels"
533,"Westward Tide (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
534,"Imagination (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
535,"Crimson Sunset (Piano Collections)","Achat sur la boutique en ligne ou obtention en tant qu'objet bonus"
