#,Name,UnlockLink,TextCommand,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],Order,Icon,LogMessageTargeted,LogMessageUntargeted,Patch,EmoteCategory,EmoteMode,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,HasCancelEmote,DrawsWeapon,Unknown6
223,Kehren,417,624,8016,8015,0,0,0,0,0,11506,64405,8196,8197,1,2,63,False,False,False,False,True,False,False,False
224,Pinselstrich: Schwarz,418,625,8017,0,0,0,0,0,0,3106,64406,8198,8199,1,1,0,False,False,False,False,True,False,False,False
225,Pinselstrich: Rot,418,626,8018,0,0,0,0,0,0,3107,64407,8202,8203,1,1,0,False,False,False,False,True,False,False,False
226,Pinselstrich: Gelb,418,627,8019,0,0,0,0,0,0,3108,64408,8204,8205,1,1,0,False,False,False,False,True,False,False,False
227,Pinselstrich: Blau,418,628,8020,0,0,0,0,0,0,3109,64409,8206,8207,1,1,0,False,False,False,False,True,False,False,False
228,Aufgesetztes Lächeln,0,629,8021,0,8021,8021,8021,8021,0,20029,64132,8200,8201,1,3,0,True,True,True,False,False,False,False,False
229,Pantomime,237,630,7420,0,0,0,0,0,0,6102,64410,8208,8209,550,1,0,False,False,False,False,True,False,False,False
230,Grübeln,238,631,8044,0,8046,8045,8045,0,0,5024,64411,8210,8211,550,1,0,True,True,True,False,True,False,False,False
231,Pst,69602,632,7397,0,7398,7398,7398,0,0,6008,64412,8212,8213,550,1,0,True,True,True,False,True,False,False,False
232,Pizza essen,240,633,8047,0,8048,8048,8048,0,0,6043,64413,8214,8215,550,1,0,True,True,True,False,True,False,False,False
233,An den Kopf fassen,0,634,8049,0,8050,8050,8050,0,0,5021,64416,8217,8216,610,1,0,True,True,True,False,True,False,False,False
234,Schokolade essen,428,635,8011,0,8012,8012,8012,0,0,6046,64415,8239,8238,620,1,0,True,True,True,False,True,False,False,False
235,Ei essen,429,636,8013,0,8014,8014,8014,0,0,6044,64417,8219,8218,610,1,0,True,True,True,False,True,False,False,False
236,Glückselig,0,637,8051,0,8051,8051,8051,8051,0,20006,64133,8221,8220,610,3,0,True,True,True,False,False,False,False,False
237,Waffe wegstecken,430,638,7344,0,0,0,0,0,0,8001,64422,8223,8222,610,1,0,True,True,True,False,True,False,False,True
238,Waffe ziehen,431,639,7345,0,0,0,0,0,0,8000,64423,8225,8224,610,1,0,True,True,True,False,True,False,True,False
239,Tee trinken,433,640,8058,0,8064,8064,8064,0,0,6048,64418,8227,8226,610,1,0,True,True,True,False,True,False,False,False
240,Entschlossen,432,641,8060,0,8061,8061,8061,0,0,2005,64419,8229,8228,610,1,0,True,True,True,False,True,False,False,False
241,Tadaa (rechts),434,642,8070,8069,0,0,0,0,0,11507,64420,8231,8230,610,2,64,False,False,False,False,True,False,False,False
242,Tadaa (links),434,643,8072,8071,0,0,0,0,0,11508,64421,8233,8232,610,2,65,False,False,False,False,True,False,False,False
243,,0,0,8063,8062,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
244,,0,0,8066,8065,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
245,Verhöhnen,437,646,8059,0,0,0,0,0,0,5010,64424,8235,8234,620,1,0,False,False,False,False,True,False,False,False
246,Entzückt,438,647,8075,0,8076,8076,8076,0,0,3005,64425,8237,8236,625,1,0,True,True,True,False,True,False,False,False
247,Kürbiskeks essen,439,648,8009,0,8010,8010,8010,0,0,6045,64414,8243,8242,620,1,0,True,True,True,False,True,False,False,False
248,"Olé, olé, olé, olé!",440,649,8078,8077,0,0,0,0,0,11509,64426,8241,8240,620,2,66,False,False,False,False,True,False,False,False
249,Zaubertrick,443,650,8080,0,0,0,0,0,0,3111,64427,8245,8244,630,1,0,False,False,False,False,True,False,False,False
250,Prinzessinnentanz,444,651,8081,0,0,0,0,0,0,6010,64428,8247,8246,630,1,0,False,False,False,False,True,False,False,False
251,Kontaktperle,445,652,8082,0,8083,8083,8083,0,0,6103,64429,8249,8248,630,1,0,True,True,True,False,True,False,False,False
252,Löffelwackeln,70222,653,8094,0,0,0,0,0,0,3110,64430,8251,8250,635,1,0,False,False,False,False,True,False,False,False
253,,0,0,8068,8067,0,0,0,0,0,0,0,0,0,1,4,0,False,False,False,False,False,False,False,False
254,,0,0,8002,8001,0,8002,0,0,0,0,0,0,0,1,4,2,False,False,False,False,False,False,False,False
255,,0,0,8004,8003,0,8004,0,0,0,0,0,0,0,1,4,2,False,False,False,False,False,False,False,False
256,Angst und Schrecken,450,657,8102,0,0,0,0,0,0,5016,64431,8253,8252,630,1,0,False,False,False,False,True,False,False,False
257,Heldenhafter Auftritt,451,658,8103,0,0,0,0,0,0,6104,64432,8255,8254,640,1,0,False,False,False,False,True,False,False,False
258,Freudensprung 1,452,659,8096,0,0,0,0,0,0,3113,64433,8257,8256,640,1,0,False,False,False,False,True,False,False,False
259,Freudensprung 2,452,660,8097,0,0,0,0,0,0,3114,64434,8259,8258,640,1,0,False,False,False,False,True,False,False,False
260,Freudensprung 3,452,661,8098,0,0,0,0,0,0,3115,64435,8261,8260,640,1,0,False,False,False,False,True,False,False,False
261,Freudensprung 4,452,662,8099,0,0,0,0,0,0,3116,64436,8263,8262,640,1,0,False,False,False,False,True,False,False,False
262,Freudensprung 5,452,663,8100,0,0,0,0,0,0,3117,64437,8265,8264,640,1,0,False,False,False,False,True,False,False,False
263,Hand auf die Brust,453,664,8092,0,8093,8093,8093,0,0,1011,64438,8267,8266,640,1,0,True,True,True,False,True,False,False,False
264,Anfeuern (weiß),454,665,8087,8086,0,0,0,0,0,10027,64439,8269,8268,640,2,67,False,False,False,False,True,False,False,False
265,Anfeuern (lila),455,666,8089,8088,0,0,0,0,0,10026,64440,8271,8270,640,2,68,False,False,False,False,True,False,False,False
266,Anfeuern (grün),456,667,8091,8090,0,0,0,0,0,10025,64441,8273,8272,640,2,69,False,False,False,False,True,False,False,False
267,Verwandlungsmagie,457,668,8104,0,0,0,0,0,0,3112,64442,8275,8274,640,1,0,False,False,False,False,True,False,False,False
268,Verwandlungsmagie,457,0,8105,0,0,0,0,0,0,0,64442,8275,8274,640,1,0,False,False,False,False,True,False,False,False
269,Lophop,458,670,8107,8106,0,0,0,0,0,10113,64443,8287,8286,650,2,70,False,False,False,False,True,False,False,False
270,Literarischer Vergleich,459,671,8109,0,0,0,0,0,0,6071,64444,8277,8276,645,1,0,False,False,False,False,True,False,False,False
271,Backhähnchen essen,469,672,8113,0,8118,8118,8118,0,0,6047,64445,8279,8278,650,1,0,True,True,True,False,True,False,False,False
272,Exodus,470,673,8131,8130,0,0,0,0,0,12007,64446,8281,8280,650,2,73,False,False,False,False,True,False,False,False
273,Kopf hängen lassen,471,674,8111,8110,0,0,0,0,0,11016,64447,8283,8282,650,2,71,False,False,False,False,True,False,False,False
274,Herzpose,472,675,8115,8114,0,0,0,0,0,10114,64448,8285,8284,650,2,72,False,False,False,False,True,False,False,False
275,Kleiner Stolz,473,676,8116,0,0,0,0,0,0,3119,64449,8289,8288,655,1,0,False,False,False,False,True,False,False,False
276,Bohnensieg,474,677,8112,0,0,0,0,0,0,3118,64450,8291,8290,650,1,0,False,False,False,False,True,False,False,False
277,Spiegelei,475,678,8084,0,0,0,0,0,0,6060,64451,8293,8292,650,1,0,False,False,False,False,True,False,False,False
278,Großfächer,484,679,8117,0,0,0,0,0,0,3120,64452,8295,8294,700,1,0,False,False,False,False,True,False,False,False
279,Anweisung erwarten,490,680,8125,8124,0,0,0,0,0,11510,64453,8297,8296,710,2,74,False,False,False,False,True,False,False,False
280,Gießkanne,491,681,8127,8126,0,0,0,0,0,11512,64454,8299,8298,710,2,75,False,False,False,False,True,False,False,False
281,Mixen,492,682,8129,8128,0,0,0,0,0,11511,64455,8301,8300,710,2,76,False,False,False,False,True,False,False,False
282,Freigeist-Pose,70725,683,8132,0,0,0,0,0,0,5052,64456,8303,8302,710,1,0,False,False,False,False,True,False,False,False
283,Blumenstrauß,493,684,8134,8133,0,0,0,0,0,10115,64457,8305,8304,710,2,77,False,False,False,False,True,False,False,False
284,Seifenblasen,494,685,8135,0,8136,8136,8136,0,0,6105,64458,8307,8306,710,1,0,True,True,True,False,True,False,False,False
285,Ohokaliy,70729,686,8137,0,8138,8138,8138,0,0,14,64459,8309,8308,710,1,0,True,True,True,False,True,False,False,False
286,Schönheit speichern,495,687,8122,0,8123,8123,8123,0,0,6107,64460,8313,8312,720,1,0,True,True,True,False,True,False,False,False
287,,493,0,8140,8139,0,0,0,0,0,0,64457,8305,8304,710,2,78,False,False,False,False,True,False,False,False
288,Fotografieren,0,689,8151,0,8152,8152,8152,0,0,6106,64461,8311,8310,715,1,0,True,True,True,False,True,False,False,False
289,,0,0,8154,0,8152,8152,8152,0,0,0,64461,8311,8310,715,1,0,True,True,True,False,True,False,False,False
290,,0,0,8155,0,8152,8152,8152,0,0,0,64461,8311,8310,715,1,0,True,True,True,False,True,False,False,False
291,Von den Socken,543,692,8153,0,8157,8157,8157,0,0,5025,64462,8315,8314,720,1,0,True,True,True,False,True,False,False,False
292,Wirbeln,544,693,8158,0,0,0,0,0,0,6108,64463,8317,8316,725,1,0,False,False,False,False,True,False,False,False
293,Taumeln,545,694,8142,8141,0,0,0,0,0,11513,64464,8319,8318,720,2,79,False,False,False,False,True,False,False,False
294,Vor Wut zittern,546,695,8160,8159,0,0,0,0,0,11514,64465,8321,8320,721,2,80,False,False,False,False,True,False,False,False
295,Steinstarren,406,696,8162,8161,0,0,0,0,0,11515,64466,8323,8322,720,2,81,False,False,False,False,True,False,False,False
296,Schmökern,70,697,8164,8163,0,0,0,0,0,11516,64467,8325,8324,720,2,82,False,False,False,False,True,False,False,False
297,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
298,Gridanisches Schlückchen,554,699,8167,0,8168,8168,8168,0,0,6051,64468,8329,8328,730,1,0,True,True,True,False,True,False,False,False
299,Ul'dhisches Schlückchen,554,700,8171,0,8172,8172,8172,0,0,6052,64469,8331,8330,730,1,0,True,True,True,False,True,False,False,False
300,Limsisches Schlückchen,554,701,8175,0,8176,8176,8176,0,0,6050,64470,8333,8332,730,1,0,True,True,True,False,True,False,False,False
301,Gridanischer Schluck,554,702,8170,8169,0,0,0,0,0,11602,64471,8335,8334,730,2,83,False,False,False,False,True,False,False,False
302,Ul'dhischer Schluck,554,703,8174,8173,0,0,0,0,0,11603,64472,8337,8336,730,2,84,False,False,False,False,True,False,False,False
303,Limsischer Schluck,554,704,8178,8177,0,0,0,0,0,11601,64473,8339,8338,730,2,85,False,False,False,False,True,False,False,False
304,Lockern,555,705,8156,0,0,0,0,0,0,3122,64474,8341,8340,731,1,0,False,False,False,False,True,False,False,False
305,Grüntee trinken,556,706,8190,0,8191,8191,8191,0,0,6049,64475,8343,8342,730,1,0,True,True,True,False,True,False,False,False
306,Grüntee genießen,556,707,8193,8192,0,0,0,0,0,11600,64476,8345,8344,730,2,86,False,False,False,False,True,False,False,False
307,Beschwingt notieren,557,708,8144,8143,0,0,0,0,0,11517,64477,8347,8346,730,2,87,False,False,False,False,True,False,False,False
308,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
309,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
310,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
311,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
312,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
313,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
314,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
315,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
316,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
317,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
318,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
